severity,file_num,rdk_id,display_name,reason_codes,pubchem_record_title,rxnorm_generic_name,drugcentral_generic_name,sdf_title,inchikey,path
review,3488,rdk_0003488,daxas n oxide,raw_quality_iupac_like,roflumilast N-oxide,,,fda_6669,PCGSQNPMMSALEJ-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003488.pdbqt
review,3489,rdk_0003489,iprenol,brand_display_with_clean_pubchem_title,Isoprenaline hydrochloride,,,fda_6670,IROWCYIEJAOFOW-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003489.pdbqt
review,3490,rdk_0003490,renazide,brand_display_with_clean_pubchem_title,cyclothiazide,cyclothiazide,,fda_6671,BOCUKUHCLICSIY-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003490.pdbqt
review,3491,rdk_0003491,harmine,brand_display_with_clean_pubchem_title,telepathine hydrochloride,,,fda_6672,VNPLYCKZIUTKJM-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003491.pdbqt
review,3492,rdk_0003492,BS-17214,raw_quality_identifier_like;raw_quality_unii_like,orb1304906,,,fda_6673,XOZBAQQWDPHFRG-SUUAPTQESA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003492.pdbqt
review,3493,rdk_0003493,astragaloside iv?,raw_quality_formula_like,C41H68O14,artesunate,,fda_6674,QMNWISYXSJWHRY-CSXKERSZSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003493.pdbqt
review,3497,rdk_0003497,vimrxyn,brand_display_with_clean_pubchem_title,hypericin,hypericin,,fda_6678,BTXNYTINYBABQR-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003497.pdbqt
review,3498,rdk_0003498,picato,brand_display_with_clean_pubchem_title,mebutate d'ingenol,,,fda_6679,VDJHFHXMUKFKET-WDUFCVPESA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003498.pdbqt
review,3500,rdk_0003500,efisol,brand_display_with_clean_pubchem_title,dequalinium chloride,dequalinium,,fda_6681,LTNZEXKYNRNOGT-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003500.pdbqt
review,3501,rdk_0003501,midostaurin,brand_display_with_clean_pubchem_title,GlyTouCan:G43813BX,,,fda_6682,BMGQWWVMWDBQGC-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003501.pdbqt
review,3502,rdk_0003502,valstar,brand_display_with_clean_pubchem_title,Valrubicin,valrubicin,,fda_6683,ZOCKGBMQLCSHFP-KQRAQHLDSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003502.pdbqt
review,3503,rdk_0003503,calan,brand_display_with_clean_pubchem_title,Verapamil hydrochloride,verapamil,,fda_6684,DOQPXTMNIUCOSY-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003503.pdbqt
review,3504,rdk_0003504,okedi,brand_display_with_clean_pubchem_title,risperidone,ethanol,,fda_6685,RAPZEAPATHNIPO-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003504.pdbqt
review,3505,rdk_0003505,atazor,brand_display_with_clean_pubchem_title,Atazanavir sulfate,atazanavir,,fda_6686,DQSGVVGOPRWTKI-QVFAWCHISA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003505.pdbqt
review,3506,rdk_0003506,tirbanibulin,brand_display_with_clean_pubchem_title,KX2-391 mesylate,tirbanibulin,,fda_6687,JGSYRKUPDSSTCB-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003506.pdbqt
review,3508,rdk_0003508,bareon,brand_display_with_clean_pubchem_title,Lomefloxacin hydrochloride,lomefloxacin,,fda_6689,KXEBLAPZMOQCKO-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003508.pdbqt
review,3510,rdk_0003510,invanz,brand_display_with_clean_pubchem_title,Ertapenem sodium,ertapenem,,fda_6691,ZXNAQFZBWUNWJM-HRXMHBOMSA-M,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003510.pdbqt
review,3512,rdk_0003512,c42h88n14o36s3,raw_quality_formula_like,C42H88N14O36S3,,,fda_6693,CZWJCQXZZJHHRH-YZTFXSNBSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003512.pdbqt
review,3513,rdk_0003513,spectam,brand_display_with_clean_pubchem_title,Spectinomycin hydrochloride,,,fda_6694,DCHJOVNPPSBWHK-UXXUFHFZSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003513.pdbqt
review,3514,rdk_0003514,sulfisomezole,brand_display_with_clean_pubchem_title,Sulfamethoxazole sodium,sulfisoxazole,,fda_6695,LARLNXOUTTUXPN-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003514.pdbqt
review,3515,rdk_0003515,acnez,brand_display_with_clean_pubchem_title,minomycin hydrochloride,,,fda_6696,GLMUAFMGXXHGLU-VQAITOIOSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003515.pdbqt
review,3516,rdk_0003516,nafcillin,raw_quality_iupac_like,6-(2-Ethoxy-1-naphthamido)penicillin,nafcillin,,fda_6697,AAUCEKQDBNOMNI-JTVCUAELSA-M,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003516.pdbqt
review,3517,rdk_0003517,dificid,brand_display_with_clean_pubchem_title,Fidaxomicin,fidaxomicin,,fda_6698,ZVGNESXIJDCBKN-UUEYKCAUSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003517.pdbqt
review,3518,rdk_0003518,g 418 disulfate,brand_display_with_clean_pubchem_title,G-418 disulfate,,,fda_6699,UHEPSJJJMTWUCP-DHDYTCSHSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003518.pdbqt
