Ligand,stage1,stage2,stage3
fda_0463.pdbqt,-8.27,,
fda_0464.pdbqt,-8.59,-8.59,
fda_0465.pdbqt,-7.23,,
fda_0466.pdbqt,-7.52,,
fda_0467.pdbqt,-7.65,,
fda_0468.pdbqt,-7.47,,
fda_0469.pdbqt,-7.54,,
fda_0470.pdbqt,-5.69 (invalid),,
fda_0471.pdbqt,-6.91,,
fda_0472.pdbqt,-6.90,,
fda_0473.pdbqt,-6.09,,
fda_0474.pdbqt,-6.97,,
fda_0475.pdbqt,-7.34 (invalid),,
fda_0476.pdbqt,-7.19,,
fda_0477.pdbqt,-7.10,,
fda_0478.pdbqt,-7.06,,
fda_0479.pdbqt,-5.84,,
fda_0480.pdbqt,-4.34,,
fda_0481.pdbqt,-4.39,,
fda_0482.pdbqt,-8.30,,
fda_0483.pdbqt,-7.98,,
fda_0484.pdbqt,-8.64,-8.63,
fda_0485.pdbqt,-8.34,,
fda_0486.pdbqt,-8.12,,
fda_0487.pdbqt,-8.42,,
fda_0488.pdbqt,-8.00,,
fda_0489.pdbqt,-6.10,,
fda_0490.pdbqt,-6.15,,
fda_0491.pdbqt,-5.90 (invalid),,
fda_0492.pdbqt,-5.88,,
fda_0493.pdbqt,-8.28,,
fda_0494.pdbqt,-7.82,,
fda_0495.pdbqt,-8.03,,
fda_0496.pdbqt,-8.41,,
fda_0497.pdbqt,-8.17,,
fda_0498.pdbqt,-8.97 (invalid),,
fda_0499.pdbqt,-8.74 (invalid),,
fda_0500.pdbqt,-9.06 (invalid),,
fda_0501.pdbqt,-8.82,-8.96 (invalid),
fda_0502.pdbqt,-7.75,,
fda_0503.pdbqt,-7.75,,
fda_0504.pdbqt,-8.90,-8.94,
fda_0505.pdbqt,-8.19,,
fda_0506.pdbqt,-7.46,,
fda_0507.pdbqt,-7.43,,
fda_0508.pdbqt,-7.35,,
fda_0509.pdbqt,-7.55,,
fda_0510.pdbqt,-7.32,,
fda_0511.pdbqt,-7.92,,
fda_0512.pdbqt,-8.15,,
fda_0513.pdbqt,-7.96,,
fda_0514.pdbqt,-9.85,-9.68,
fda_0515.pdbqt,-9.84,-9.79,
fda_0516.pdbqt,-9.47,-9.49,
fda_0517.pdbqt,-8.77,-8.74,
fda_0518.pdbqt,-8.15,,
fda_0519.pdbqt,-8.33,,
fda_0520.pdbqt,-8.10 (invalid),,
fda_0521.pdbqt,-7.63,,
fda_0522.pdbqt,-7.01,,
fda_0523.pdbqt,-7.63,,
fda_0524.pdbqt,-7.43,,
fda_0525.pdbqt,-7.82,,
fda_0526.pdbqt,-8.13,,
fda_0527.pdbqt,-8.07,,
fda_0528.pdbqt,-7.39,,
fda_0529.pdbqt,-7.99,,
fda_0530.pdbqt,-8.21,,
fda_0531.pdbqt,-7.37,,
fda_0532.pdbqt,-7.20,,
fda_0533.pdbqt,-7.30,,
fda_0534.pdbqt,-7.83,,
fda_0535.pdbqt,-7.80,,
fda_0536.pdbqt,-7.53,,
fda_0537.pdbqt,-7.68,,
fda_0538.pdbqt,-8.99,-8.85,
fda_0539.pdbqt,-9.15 (invalid),,
fda_0540.pdbqt,-8.70,-8.69,
fda_0541.pdbqt,-9.14,-9.21,
fda_0542.pdbqt,-7.24,,
fda_0543.pdbqt,-5.04,,
fda_0544.pdbqt,-4.90,,
fda_0545.pdbqt,-5.28 (invalid),,
fda_0546.pdbqt,-4.73 (invalid),,
fda_0547.pdbqt,-7.38,,
fda_0548.pdbqt,-7.28,,
fda_0549.pdbqt,-6.91,,
fda_0550.pdbqt,-5.57,,
fda_0551.pdbqt,-4.37,,
fda_0552.pdbqt,-4.61,,
fda_0553.pdbqt,-4.42 (invalid),,
fda_0554.pdbqt,-7.02,,
fda_0555.pdbqt,-6.81,,
fda_0556.pdbqt,-7.55,,
fda_0557.pdbqt,-6.76,,
fda_0558.pdbqt,-7.94,,
fda_0559.pdbqt,-7.77,,
fda_0560.pdbqt,-7.95,,
